Cluster_ID,Centroid_Lat,Centroid_Lon,Total_POI,parlimen,dun
111,3.082534762,101.6716998,7,P.122 Seputeh,P.122 Seputeh
112,3.084923545,101.523173,8,P.108 Shah Alam,N.40 Kota Anggerik
113,3.086139629,101.6472202,7,P.105 Petaling Jaya,N.33 Taman Medan
114,3.093366298,101.7390624,5,P.123 Cheras,P.123 Cheras
115,3.098896081,101.6459408,10,P.105 Petaling Jaya,N.34 Bukit Gasing
116,3.099231033,101.7127216,3,P.124 Bandar Tun Razak,P.124 Bandar Tun Razak
117,3.10143181,101.5994229,6,P.105 Petaling Jaya,N.32 Seri Setia
118,3.103218067,101.5281334,3,P.108 Shah Alam,N.40 Kota Anggerik
119,3.105793576,101.4687097,4,P.108 Shah Alam,N.40 Kota Anggerik
120,3.109061333,101.622502,3,P.106 Damansara,N.35 Kampung Tunku
121,3.10989168,101.636742,10,P.105 Petaling Jaya,N.34 Bukit Gasing
122,3.109959933,101.4476682,3,P.108 Shah Alam,N.40 Kota Anggerik
123,3.110393092,101.6659028,6,P.121 Lembah Pantai,P.121 Lembah Pantai
124,3.112177033,101.7153418,3,P.124 Bandar Tun Razak,P.124 Bandar Tun Razak
125,3.112274433,101.7297235,4,P.124 Bandar Tun Razak,P.124 Bandar Tun Razak
126,3.113208567,101.6050203,3,P.106 Damansara,N.36 Bandar Utama
127,3.1139094,101.7255841,3,P.124 Bandar Tun Razak,P.124 Bandar Tun Razak
128,3.114883659,101.5268413,5,P.108 Shah Alam,N.40 Kota Anggerik
129,3.117818933,101.635625,5,P.105 Petaling Jaya,N.34 Bukit Gasing
130,3.119790079,101.6216227,5,P.106 Damansara,N.35 Kampung Tunku
131,3.120370633,101.5989193,3,P.106 Damansara,N.36 Bandar Utama
132,3.120149733,101.7283243,3,P.123 Cheras,P.123 Cheras
133,3.120438,101.7628437,3,P.100 Pandan,N.22 Teratai
134,3.123006052,101.7187318,4,P.123 Cheras,P.123 Cheras
135,3.127462422,101.724556,15,P.123 Cheras,P.123 Cheras
136,3.127545467,101.6786859,5,P.121 Lembah Pantai,P.121 Lembah Pantai
137,3.128309,101.5193437,3,P.108 Shah Alam,N.40 Kota Anggerik
138,3.130656822,101.6268349,6,P.106 Damansara,N.36 Bandar Utama
139,3.130701195,101.6712637,8,P.121 Lembah Pantai,P.121 Lembah Pantai
140,3.133168561,101.6868855,21,P.121 Lembah Pantai,P.121 Lembah Pantai
141,3.132674531,101.6712304,6,P.121 Lembah Pantai,P.121 Lembah Pantai
142,3.136503833,101.7471665,3,P.100 Pandan,N.21 Pandan Indah
143,3.1386577,101.7642468,3,P.099 Ampang,N.19 Bukit Antarabangsa
144,3.137963338,101.6101024,8,P.106 Damansara,N.36 Bandar Utama
145,3.139711297,101.6287616,6,P.106 Damansara,N.36 Bandar Utama
146,3.141495367,101.7179516,3,P.120 Bukit Bintang,P.120 Bukit Bintang
147,3.142404843,101.7104509,13,P.120 Bukit Bintang,P.120 Bukit Bintang
148,3.1441293,101.4814757,3,P.108 Shah Alam,N.40 Kota Anggerik
149,3.144375867,101.7097998,4,P.120 Bukit Bintang,P.120 Bukit Bintang
150,3.1450697,101.7113648,3,P.120 Bukit Bintang,P.120 Bukit Bintang
151,3.145896033,101.7006927,3,P.120 Bukit Bintang,P.120 Bukit Bintang
152,3.146173867,101.7649085,3,P.099 Ampang,N.19 Bukit Antarabangsa
153,3.147117413,101.7113708,10,P.120 Bukit Bintang,P.120 Bukit Bintang
154,3.14703105,101.7133297,3,P.120 Bukit Bintang,P.120 Bukit Bintang
155,3.148434078,101.5447923,5,P.107 Sungai Buloh,N.39 Kota Damansara
156,3.149128867,101.6534212,3,P.117 Segambut,P.117 Segambut
157,3.149286173,101.593542,5,P.107 Sungai Buloh,N.39 Kota Damansara
158,3.150646333,101.748349,3,P.119 Titiwangsa,P.119 Titiwangsa
159,3.154446646,101.7084807,6,P.120 Bukit Bintang,P.120 Bukit Bintang
160,3.154402967,101.6032245,3,P.106 Damansara,N.37 Bukit Lanjan
161,3.157106727,101.6954734,11,P.120 Bukit Bintang,P.120 Bukit Bintang
162,3.157647973,101.7122359,9,P.120 Bukit Bintang,P.120 Bukit Bintang
163,3.157971304,101.612298,17,P.106 Damansara,N.36 Bandar Utama
164,3.159686969,101.5741404,7,P.107 Sungai Buloh,N.39 Kota Damansara
165,3.159305417,101.7141283,10,P.120 Bukit Bintang,P.120 Bukit Bintang
166,3.161639733,101.7168757,3,P.119 Titiwangsa,P.119 Titiwangsa
167,3.166619191,101.6960983,4,P.120 Bukit Bintang,P.120 Bukit Bintang
168,3.166359226,101.6923539,8,P.120 Bukit Bintang,P.120 Bukit Bintang
169,3.171086901,101.6665161,4,P.117 Segambut,P.117 Segambut
170,3.177338813,101.738027,4,P.098 Gombak,N.18 Hulu Kelang
171,3.1863068,101.6510689,3,P.117 Segambut,P.117 Segambut
172,3.18888658,101.6808175,5,P.115 Batu,P.115 Batu
173,3.190937259,101.6532754,4,P.117 Segambut,P.117 Segambut
174,3.191715267,101.6169608,3,P.106 Damansara,N.37 Bukit Lanjan
175,3.195230333,101.711647,3,P.118 Setiawangsa,P.118 Setiawangsa
176,3.198231867,101.5941809,3,P.106 Damansara,N.37 Bukit Lanjan
177,3.198882033,101.577466,3,P.107 Sungai Buloh,N.39 Kota Damansara
178,3.203010874,101.4871201,7,P.107 Sungai Buloh,N.38 Paya Jaras
179,3.204475867,101.7205572,3,P.116 Wangsa Maju,P.116 Wangsa Maju
180,3.205595467,101.7327048,3,P.116 Wangsa Maju,P.116 Wangsa Maju
181,3.209232167,101.5640327,6,P.107 Sungai Buloh,N.38 Paya Jaras
182,3.211083895,101.6501757,4,P.114 Kepong,P.114 Kepong
183,3.211214231,101.615847,4,P.106 Damansara,N.37 Bukit Lanjan
184,3.212425226,101.7116192,6,P.116 Wangsa Maju,P.116 Wangsa Maju
185,3.217773465,101.7186838,5,P.116 Wangsa Maju,P.116 Wangsa Maju
186,3.220390833,101.6909673,3,P.115 Batu,P.115 Batu
187,3.22447063,101.7303609,8,P.116 Wangsa Maju,P.116 Wangsa Maju
188,3.233673746,101.6951766,4,P.098 Gombak,N.17 Gombak Setia
189,3.237190583,101.6439993,7,P.106 Damansara,N.37 Bukit Lanjan
190,3.237971023,101.6993365,4,P.098 Gombak,N.17 Gombak Setia
191,3.239200033,101.7002341,3,P.098 Gombak,N.17 Gombak Setia
192,3.2506003,101.6923578,3,P.098 Gombak,N.17 Gombak Setia
193,3.256427771,101.6567377,9,P.097 Selayang,N.15 Taman Templer
194,3.284025226,101.4732962,8,P.097 Selayang,N.13 Kuang
195,3.3034315,101.5988233,3,P.097 Selayang,N.14 Rawang
196,3.32026702,101.2707949,6,P.096 Kuala Selangor,N.10 Bukit Melawati
197,3.323974261,101.526341,6,P.097 Selayang,N.14 Rawang
198,3.330313087,101.2570599,4,P.096 Kuala Selangor,N.10 Bukit Melawati
199,3.340334333,101.249995,3,P.096 Kuala Selangor,N.10 Bukit Melawati
200,3.35707164,101.5739609,3,P.094 Hulu Selangor,N.07 Batang Kali
201,3.452560233,101.6637739,3,P.094 Hulu Selangor,N.07 Batang Kali
202,3.502926567,101.1039994,5,P.093 Sungai Besar,N.04 Sekinchan
203,3.507025967,101.1029672,3,P.093 Sungai Besar,N.04 Sekinchan
204,3.563388567,101.658507,3,P.094 Hulu Selangor,N.06 Kuala Kubu Baharu
205,2.926301767,101.7811645,3,P.102 Bangi,N.26 Sungai Ramal
206,2.931222973,101.856857,6,P.101 Hulu Langat,N.24 Semenyih
207,2.952347123,101.5773375,4,P.112 Kuala Langat,N.51 Sijangkang
208,2.957805567,101.8401402,3,P.101 Hulu Langat,N.24 Semenyih
209,2.964930067,101.7213948,5,P.113 Sepang,N.55 Dengkil
210,2.976197233,101.7799864,3,P.102 Bangi,N.25 Kajang
211,2.991522091,101.7906894,6,P.102 Bangi,N.25 Kajang
212,2.992572033,101.6164339,3,P.103 Puchong,N.29 Seri Serdang
213,3.033959507,101.6651127,4,P.104 Subang,N.30 Kinrara
214,3.0523166,101.6721427,3,P.122 Seputeh,P.122 Seputeh
215,3.062057267,101.6464736,3,P.104 Subang,N.30 Kinrara
216,3.066960724,101.4904071,4,P.108 Shah Alam,N.40 Kota Anggerik
217,3.071037533,101.6948262,3,P.122 Seputeh,P.122 Seputeh
218,3.074134622,101.7376083,4,P.124 Bandar Tun Razak,P.124 Bandar Tun Razak
219,3.07334294,101.7629621,5,P.101 Hulu Langat,N.23 Dusun Tua
220,3.082475567,101.5874246,6,P.105 Petaling Jaya,N.32 Seri Setia
221,3.086682367,101.4425046,3,P.110 Klang,N.45 Bandar Baru Klang
222,3.087519533,101.7211249,3,P.124 Bandar Tun Razak,P.124 Bandar Tun Razak
223,3.0898478,101.7258582,3,P.124 Bandar Tun Razak,P.124 Bandar Tun Razak
224,3.097265767,101.5388583,3,P.108 Shah Alam,N.40 Kota Anggerik
225,3.102336591,101.6845209,6,P.122 Seputeh,P.122 Seputeh
226,3.12664352,101.6159876,7,P.106 Damansara,N.36 Bandar Utama
227,3.129258861,101.7319274,4,P.123 Cheras,P.123 Cheras
228,3.129074595,101.6348453,4,P.105 Petaling Jaya,N.34 Bukit Gasing
229,3.1320011,101.6841752,7,P.121 Lembah Pantai,P.121 Lembah Pantai
230,3.138558022,101.371094,4,P.109 Kapar,N.42 Meru
231,3.146848915,101.7371008,5,P.119 Titiwangsa,P.119 Titiwangsa
232,3.151774537,101.7597528,4,P.099 Ampang,N.19 Bukit Antarabangsa
233,3.171860857,101.7218871,4,P.118 Setiawangsa,P.118 Setiawangsa
234,3.1752468,101.7348968,4,P.098 Gombak,N.18 Hulu Kelang
235,3.184962333,101.5268,3,P.107 Sungai Buloh,N.38 Paya Jaras
236,3.1954151,101.5932999,3,P.106 Damansara,N.37 Bukit Lanjan
237,3.2021921,101.6894947,3,P.115 Batu,P.115 Batu
238,3.204501307,101.7363688,4,P.116 Wangsa Maju,P.116 Wangsa Maju
239,3.213022656,101.6432138,4,P.114 Kepong,P.114 Kepong
240,3.237308567,101.6977806,3,P.098 Gombak,N.17 Gombak Setia
241,3.425191111,101.176793,5,P.095 Tanjong Karang,N.08 Sungai Burong
242,3.509247,101.5248055,4,P.094 Hulu Selangor,N.06 Kuala Kubu Baharu
243,2.900442733,101.8330631,3,P.101 Hulu Langat,N.24 Semenyih
244,2.969967342,101.7126308,12,P.113 Sepang,N.55 Dengkil
245,3.109282039,101.4610358,12,P.108 Shah Alam,N.40 Kota Anggerik
246,3.118968033,101.6761214,3,P.121 Lembah Pantai,P.121 Lembah Pantai
247,3.119237782,101.6780122,7,P.121 Lembah Pantai,P.121 Lembah Pantai
248,3.133232814,101.5537773,5,P.107 Sungai Buloh,N.39 Kota Damansara
249,3.13443308,101.7231351,9,P.119 Titiwangsa,P.119 Titiwangsa
250,3.146411057,101.6618197,4,P.121 Lembah Pantai,P.121 Lembah Pantai
251,3.148664523,101.6164316,5,P.106 Damansara,N.36 Bandar Utama
252,3.150952295,101.5922669,8,P.107 Sungai Buloh,N.39 Kota Damansara
